tempo,largura
11.072,1.0009
11.08,1.00191
11.088,0.999293
11.096,1.00548
11.104,0.996944
11.112,0.999293
11.12,1.0038
11.128,0.993301
11.136,1.00385
11.144,1.0009
11.152,0.996177
11.16,1.00222
11.168,0.996512
11.176,1.0026
11.184,0.999293
11.192,0.995769
11.2,1.00493
11.208,0.997663
11.216,1.00179
11.224,1.00548
11.232,0.996512
11.24,1.00342
11.248,0.999724
11.256,0.993876
11.264,1.00667
11.272,0.996057
11.28,1.00505
11.288,1.00016
11.296,0.996369
11.304,1.00579
11.312,0.998142
11.32,0.998478
11.328,1.00761
11.336,0.995242
11.344,1.00505
11.352,1.00061
11.36,0.996512
11.368,1.00191
11.376,0.993301
11.384,1.00087
11.392,1.00224
11.4,0.993372
11.408,1.00224
11.416,0.998142
11.424,0.999724
11.432,1.00001
11.44,0.99203
11.448,1.00385
11.456,0.999293
11.464,0.997111
11.472,1.00224
11.48,0.998118
11.488,1.00253
11.496,1.0014
11.504,0.993876
11.512,1.00459
11.52,0.996608
11.528,1.00416
11.536,1.00416
11.544,0.998118
11.552,1.00416
11.56,1.00001
11.568,0.993876
11.576,1.00416
11.584,0.997111
11.592,1.00622
11.6,1.00253
11.608,1.00001
11.616,1.00277
11.624,0.997111
11.632,1.00224
11.64,1.00466
11.648,0.992869
11.656,1.0083
11.664,1.00001
11.672,1.00087
11.68,1.00087
11.688,0.995769
11.696,1.0014
11.704,1.00277
11.712,0.995242
11.72,1.00459
11.728,0.998142
11.736,1.00133
11.744,1.00037
11.752,0.992869
11.76,1.00761
11.768,1.0014
11.776,1.00001
11.784,1.0033
11.792,0.995242
11.8,1.00505
11.808,1.00087
11.816,0.995745
11.824,1.00605
11.832,0.999293
11.84,1.0033
11.848,0.998142
11.856,1.01207
11.864,1.0085
11.872,1.00416
11.88,1.00711
11.888,1.00902
11.896,0.998118
11.904,1.01286
11.912,1.0009
11.92,1.00037
11.928,1.00087
11.936,0.995745
11.944,1.00224
11.952,1.0038
11.96,0.996608
11.968,1.00742
11.976,0.998142
11.984,1.00133
11.992,0.998981
12.0,0.993876
12.008,1.00505
12.016,0.99855
12.024,0.996249
12.032,1.00572
12.04,0.995769
12.048,1.0038
12.056,0.998478
12.064,0.993876
12.072,1.0038
12.08,0.996057
12.088,1.00061
12.096,1.00253
12.104,0.995745
12.112,1.00385
12.12,0.995769
12.128,0.997663
12.136,1.0033
12.144,0.996057
12.152,1.00385
12.16,1.00037
12.168,0.997615
12.176,1.00016
12.184,0.995338
12.192,1.00061
12.2,1.00385
12.208,0.993732
12.216,1.00505
12.224,0.992869
12.232,0.998118
12.24,0.998478
12.248,0.992581
12.256,1.00342
12.264,1.00253
12.272,0.996057
12.28,1.00416
12.288,0.995769
12.296,1.00548
12.304,0.997111
12.312,0.99215
12.32,1.00548
12.328,1.00061
12.336,1.00179
12.344,1.00667
12.352,0.995745
12.36,1.00385
12.368,0.997974
12.376,0.998142
12.384,1.00711
12.392,0.996057
12.4,1.0009
12.408,1.00459
12.416,0.997111
12.424,1.00342
12.432,0.997375
12.44,0.998981
12.448,1.0033
12.456,0.995769
12.464,1.00548
12.472,1.00222
12.48,1.00191
12.488,0.998981
12.496,0.994739
12.504,0.999293
12.512,1.00179
12.52,0.994739
12.528,1.00416
12.536,0.997375
12.544,1.00179
12.552,0.999724
12.56,0.99215
12.568,1.00622
12.576,0.999293
12.584,0.997375
12.592,1.00572
12.6,0.994906
12.608,1.00385
12.616,0.996057
12.624,0.993372
12.632,1.00296
12.64,0.997111
12.648,1.00037
12.656,1.00505
12.664,0.994379
12.672,1.00713
12.68,0.998118
12.688,0.994379
12.696,1.00296
12.704,0.992869
12.712,1.00253
12.72,1.00296
12.728,0.994379
12.736,1.00133
12.744,0.994451
12.752,1.0014
12.76,1.00385
12.768,0.995769
12.776,1.00658
12.784,0.999508
12.792,0.996512
12.8,1.00277
12.808,0.994163
12.816,1.00622
12.824,1.00342
12.832,1.0107
12.84,0.994451
12.848,1.01403
12.856,1.0095
12.864,1.00667
12.872,0.998142
12.88,1.0083
12.888,1.00222
12.896,1.00342
12.904,1.00505
12.912,0.996057
12.92,1.0095
12.928,0.997663
12.936,0.997663
12.944,1.00622
12.952,0.996608
12.96,1.00416
12.968,1.00222
12.976,0.993301
12.984,1.00087
12.992,0.995338
13.0,0.998981
13.008,1.00416
13.016,0.995769
13.024,1.00605
13.032,1.00001
13.04,0.998981
13.048,1.00133
13.056,0.994379
13.064,1.00253
13.072,1.0033
13.08,0.996057
13.088,1.00385
13.096,0.997663
13.104,1.00253
13.112,1.00179
13.12,0.992869
13.128,1.00548
13.136,1.00016
13.144,1.0009
13.152,1.00579
13.16,0.995769
13.168,1.00505
13.176,1.0009
13.184,0.994451
13.192,1.00548
13.2,0.996057
13.208,1.00028
13.216,1.00579
13.224,0.997375
13.232,1.00416
13.24,0.996512
13.248,1.00001
13.256,1.00459
13.264,0.996057
13.272,1.00579
13.28,1.00179
13.288,0.999293
13.296,1.00301
13.304,0.997615
13.312,1.00001
13.32,1.00224
13.328,0.995745
13.336,1.00548
13.344,0.997615
13.352,1.0009
13.36,1.00277
13.368,0.995338
13.376,1.00416
13.384,1.0014
13.392,0.996608
13.4,1.0033
13.408,0.998478
13.416,1.00385
13.424,1.00001
13.432,0.994739
13.44,1.00277
13.448,0.998142
13.456,1.00001
13.464,1.00416
13.472,0.996249
13.48,1.0038
13.488,0.999508
13.496,0.996608
13.504,1.00579
13.512,0.995745
13.52,1.00224
13.528,1.00191
13.536,0.995745
13.544,1.00001
13.552,0.997615
13.56,1.00191
13.568,1.0033
13.576,0.995242
13.584,1.00713
13.592,1.00061
13.6,1.00087
13.608,0.999508
13.616,0.995745
13.624,0.998981
13.632,1.00016
13.64,0.995338
13.648,1.00761
13.656,0.997615
13.664,1.0033
13.672,1.00191
13.68,0.991527
13.688,1.00466
13.696,0.998478
13.704,0.997111
13.712,1.00658
13.72,0.994739
13.728,1.00459
13.736,0.998981
13.744,0.994739
13.752,1.00001
13.76,0.997111
13.768,1.0014
13.776,1.0033
13.784,0.996249
13.792,1.00385
13.8,0.997111
13.808,1.01339
13.816,1.00989
13.824,0.99855
13.832,1.0085
13.84,1.00579
13.848,1.0038
13.856,1.00416
13.864,1.00087
13.872,1.00519
13.88,1.00277
13.888,0.996249
13.896,1.00658
13.904,0.999508
13.912,1.00416
13.92,1.0033
13.928,0.994739
13.936,1.00658
13.944,1.00001
13.952,0.995745
13.96,1.00622
13.968,0.998478
13.976,1.00466
13.984,1.00001
13.992,0.994906
14.0,1.0038
14.008,0.995769
14.016,1.00061
14.024,1.00658
14.032,0.994739
14.04,1.00548
14.048,0.998142
